[µs]	Sample
78977	0
78993	1
79003	0
79014	1
79029	0
79040	1
79056	0
79067	1
79082	0
79093	1
79108	0
79131	1
79135	0
79145	1
79161	0
79171	1
79187	0
79197	1
79212	0
79224	1
79239	0
79669	1
79685	0
79695	1
79710	0
79722	1
79737	0
79748	1
79764	0
79774	1
79789	0
79800	1
79815	0
79826	1
79841	0
79853	1
79868	0
79879	1
79894	0
79905	1
79920	0
79932	1
79947	0
79957	1
79973	0
79983	1
79999	0
80009	1
80026	0
80036	1
80052	0
80062	1
80078	0
80507	1
80524	0
80534	1
80550	0
80560	1
80576	0
80586	1
80602	0
80612	1
80627	0
80639	1
80654	0
80665	1
80680	0
80691	1
80706	0
80718	1
80733	0
80744	1
80759	0
80769	1
80785	0
80795	1
80812	0
80822	1
80838	0
80848	1
80864	0
80874	1
80891	0
80901	1
80917	0
81347	1
81362	0
81373	1
81388	0
81398	1
81414	0
81424	1
81441	0
81451	1
81467	0
81477	1
81493	0
81503	1
81520	0
81530	1
81545	0
81556	1
81571	0
81583	1
81598	0
81608	1
81624	0
81634	1
81650	0
81660	1
81702	0
81713	1
81729	0
81740	1
81755	0
82185	1
82200	0
82210	1
82227	0
82237	1
82253	0
82263	1
82279	0
82289	1
82306	0
82316	1
82332	0
82342	1
82358	0
82368	1
82383	0
82395	1
82410	0
82428	1
82436	0
82447	1
82463	0
82473	1
82489	0
82499	1
82516	0
82526	1
82541	0
82552	1
82567	0
82578	1
82593	0
83024	1
83039	0
83050	1
83065	0
83076	1
83091	0
83103	1
83118	0
83129	1
83144	0
83155	1
83170	0
83180	1
83196	0
83206	1
83223	0
83233	1
83249	0
83259	1
83275	0
83285	1
83302	0
83312	1
83328	0
83338	1
83353	0
83364	1
83379	0
83391	1
83406	0
83417	1
83432	0
83862	1
83878	0
83888	1
83903	0
83915	1
83930	0
83941	1
83956	0
83967	1
83982	0
83994	1
84009	0
84020	1
84035	0
84046	1
84061	0
84071	1
84087	0
84098	1
84114	0
84124	1
84140	0
84150	1
84166	0
84176	1
84193	0
84203	1
84219	0
